activation_start,cancel_time,exit_time,variant_label,year,n_traded,win_rate,expectancy_r,n_time_exit
13:15,13:30,15:55,a=13:15_c=13:30_e=15:55,2022,845,0.07337278106508875,0.6095177355186818,778
13:15,13:30,15:55,a=13:15_c=13:30_e=15:55,2023,267,0.09363295880149813,0.6945676872717265,242
13:15,13:30,15:55,a=13:15_c=13:30_e=15:55,2024,553,0.06329113924050633,0.6233457161422945,518
13:15,13:30,15:55,a=13:15_c=13:30_e=15:55,2025,1350,0.12518518518518518,0.9612813974714234,1178
13:15,13:30,15:55,a=13:15_c=13:30_e=15:55,2026,118,0.05084745762711865,0.5095570277955805,112
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2021,469,0.03624733475479744,0.7682500014384213,452
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2022,853,0.06096131301289566,0.5969580378808135,800
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2023,266,0.09022556390977443,0.7034780051996009,242
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2024,550,0.06,0.6639886180867345,517
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2025,1385,0.10758122743682311,0.9222130822420971,1235
13:45,14:00,15:30,a=13:45_c=14:00_e=15:30,2026,123,0.04878048780487805,0.4866164709824397,117
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2021,469,0.03624733475479744,0.7447537613262668,452
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2022,853,0.05861664712778429,0.5991219982943644,803
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2023,266,0.09022556390977443,0.6998599289771836,242
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2024,550,0.05818181818181818,0.6870838325927504,518
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2025,1385,0.10252707581227437,0.906954761404657,1243
13:45,14:00,15:15,a=13:45_c=14:00_e=15:15,2026,123,0.04878048780487805,0.5246257292535451,117
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2021,469,0.03837953091684435,0.6774276090596703,451
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2022,853,0.07268464243845252,0.6180707608641103,789
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2023,266,0.09398496240601503,0.7038416613889825,241
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2024,550,0.06363636363636363,0.6311678994028865,515
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2025,1385,0.11985559566787003,0.940655279889871,1218
13:45,14:00,15:55,a=13:45_c=14:00_e=15:55,2026,123,0.04878048780487805,0.4903963606004536,117
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2021,470,0.036170212765957444,0.784890829813195,453
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2022,882,0.049886621315192746,0.5363569230421987,838
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2023,273,0.08058608058608059,0.6474607445705963,251
