template_id,entry_id,stop_id,target_id,use_risk_cancel,n_events,n_triggered,trigger_rate_pct,n_gap_fill_triggered,gap_fill_rate_pct,n_cancelled,n_valid_triggered,n_win,n_loss_total,n_both_hit,n_time_exit,win_rate_pct,loss_rate_pct,time_exit_rate_pct,mean_pnl_r,median_pnl_r,expectancy_r,mean_win_r,mean_risk_pct,mean_mae_proxy_r,mean_mfe_proxy_r,pct_mfe_above_2r
E_close_band__S_fixed_1_5pct__T_fixed_2_0r,E_close_band,S_fixed_1_5pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,969,3307,1098,1297,17.39,59.34,23.27,-0.127,-1.0,-0.127,2.0,1.5,-1.697,2.099,37.09
E_close_band__S_fixed_1_5pct__T_fixed_3_0r,E_close_band,S_fixed_1_5pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,475,3307,684,1791,8.52,59.34,32.14,-0.069,-1.0,-0.069,3.0,1.5,-1.697,2.099,37.09
E_close_band__S_fixed_2_0pct__T_fixed_1_5r,E_close_band,S_fixed_2_0pct,T_fixed_1_5r,False,6320,5573,88.18,2816,50.53,0,5573,1200,2617,867,1756,21.53,46.96,31.51,-0.057,-0.43,-0.057,1.5,2.0,-1.273,1.574,25.07
E_close_band__S_fixed_2_0pct__T_fixed_2_0r,E_close_band,S_fixed_2_0pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,757,2617,640,2199,13.58,46.96,39.46,-0.015,-0.431,-0.015,2.0,2.0,-1.273,1.574,25.07
E_close_band__S_fixed_2_0pct__T_fixed_3_0r,E_close_band,S_fixed_2_0pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,342,2617,376,2614,6.14,46.96,46.9,0.017,-0.445,0.017,3.0,2.0,-1.273,1.574,25.07
E_close_band__S_fixed_2_0pct__T_range_50pct,E_close_band,S_fixed_2_0pct,T_range_50pct,False,6320,5573,88.18,2816,50.53,0,5573,1695,2617,736,1261,30.41,46.96,22.63,-0.044,-0.407,-0.044,1.239,2.0,-1.273,1.574,25.07
E_close_band__S_fixed_2_0pct__T_range_75pct,E_close_band,S_fixed_2_0pct,T_range_75pct,False,6320,5573,88.18,2816,50.53,0,5573,942,2617,404,2014,16.9,46.96,36.14,0.013,-0.431,0.013,1.825,2.0,-1.273,1.574,25.07
E_close_band__S_fixed_2_5pct__T_fixed_2_0r,E_close_band,S_fixed_2_5pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,575,2056,393,2942,10.32,36.89,52.79,0.05,-0.041,0.05,2.0,2.5,-1.018,1.259,17.37
E_close_band__S_fixed_2_5pct__T_fixed_3_0r,E_close_band,S_fixed_2_5pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,259,2056,207,3258,4.65,36.89,58.46,0.077,-0.046,0.077,3.0,2.5,-1.018,1.259,17.37
E_close_band__S_fixed_3_0pct__T_fixed_2_0r,E_close_band,S_fixed_3_0pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,465,1639,253,3469,8.34,29.41,62.25,0.079,0.047,0.079,2.0,3.0,-0.848,1.049,12.88
E_close_band__S_fixed_3_0pct__T_fixed_3_0r,E_close_band,S_fixed_3_0pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,201,1639,118,3733,3.61,29.41,66.98,0.103,0.043,0.103,3.0,3.0,-0.848,1.049,12.88
E_close_band__S_range_proxy_75pct__T_fixed_2_0r,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,184,845,18,4544,3.3,15.16,81.54,0.153,0.15,0.153,2.0,4.703,-0.592,0.71,3.62
E_close_band__S_range_proxy_75pct__T_fixed_3_0r,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,23,845,5,4705,0.41,15.16,84.42,0.151,0.149,0.151,3.0,4.703,-0.592,0.71,3.62
E_close_band__S_range_proxy_75pct__T_range_50pct,E_close_band,S_range_proxy_75pct,T_range_50pct,False,6320,5573,88.18,2816,50.53,0,5573,2246,845,185,2482,40.3,15.16,44.54,0.094,0.25,0.094,0.667,4.703,-0.592,0.71,3.62
E_close_band__S_range_proxy_75pct__T_range_75pct,E_close_band,S_range_proxy_75pct,T_range_75pct,False,6320,5573,88.18,2816,50.53,0,5573,1241,845,105,3487,22.27,15.16,62.57,0.127,0.172,0.127,1.0,4.703,-0.592,0.71,3.62
E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,True,6320,3634,57.5,1956,53.82,1939,3634,135,678,17,2821,3.71,18.66,77.63,0.127,0.154,0.127,2.0,3.168,-0.639,0.742,4.18
E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,True,6320,3634,57.5,1956,53.82,1939,3634,18,678,5,2938,0.5,18.66,80.85,0.124,0.153,0.124,3.0,3.168,-0.639,0.742,4.18
