slice,template_id,entry_id,stop_id,target_id,use_risk_cancel,n_events,n_triggered,trigger_rate_pct,n_gap_fill_triggered,gap_fill_rate_pct,n_cancelled,n_valid_triggered,n_win,n_loss_total,n_both_hit,n_time_exit,win_rate_pct,loss_rate_pct,time_exit_rate_pct,mean_pnl_r,median_pnl_r,expectancy_r,mean_win_r,mean_risk_pct,mean_mae_proxy_r,mean_mfe_proxy_r,pct_mfe_above_2r
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_fixed_3_0pct__T_fixed_3_0r,E_close_band,S_fixed_3_0pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,201,1639,118,3733,3.61,29.41,66.98,0.103,0.043,0.103,3.0,3.0,-0.848,1.049,12.88
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_fixed_2_0r,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,False,6320,5573,88.18,2816,50.53,0,5573,184,845,18,4544,3.3,15.16,81.54,0.153,0.15,0.153,2.0,4.703,-0.592,0.71,3.62
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_fixed_3_0r,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,False,6320,5573,88.18,2816,50.53,0,5573,23,845,5,4705,0.41,15.16,84.42,0.151,0.149,0.151,3.0,4.703,-0.592,0.71,3.62
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_range_50pct,E_close_band,S_range_proxy_75pct,T_range_50pct,False,6320,5573,88.18,2816,50.53,0,5573,2246,845,185,2482,40.3,15.16,44.54,0.094,0.25,0.094,0.667,4.703,-0.592,0.71,3.62
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_range_75pct,E_close_band,S_range_proxy_75pct,T_range_75pct,False,6320,5573,88.18,2816,50.53,0,5573,1241,845,105,3487,22.27,15.16,62.57,0.127,0.172,0.127,1.0,4.703,-0.592,0.71,3.62
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,True,6320,3634,57.5,1956,53.82,1939,3634,135,678,17,2821,3.71,18.66,77.63,0.127,0.154,0.127,2.0,3.168,-0.639,0.742,4.18
gap_directional_trap__gap_up_cl_low_020__bearish__medium,E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,True,6320,3634,57.5,1956,53.82,1939,3634,18,678,5,2938,0.5,18.66,80.85,0.124,0.153,0.124,3.0,3.168,-0.639,0.742,4.18
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_1_5pct__T_fixed_2_0r,E_close_band,S_fixed_1_5pct,T_fixed_2_0r,False,9865,8772,88.92,4265,48.62,0,8772,1633,5537,2280,1602,18.62,63.12,18.26,-0.159,-1.0,-0.159,2.0,1.5,-1.898,2.76,44.61
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_1_5pct__T_fixed_3_0r,E_close_band,S_fixed_1_5pct,T_fixed_3_0r,False,9865,8772,88.92,4265,48.62,0,8772,905,5537,1617,2330,10.32,63.12,26.56,-0.079,-1.0,-0.079,3.0,1.5,-1.898,2.76,44.61
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_0pct__T_fixed_1_5r,E_close_band,S_fixed_2_0pct,T_fixed_1_5r,False,9865,8772,88.92,4265,48.62,0,8772,2078,4503,1835,2191,23.69,51.33,24.98,-0.079,-1.0,-0.079,1.5,2.0,-1.424,2.07,33.12
