activation_start,cancel_time,exit_time,n_total,n_traded,n_cancelled,trigger_rate,n_win,n_loss,n_time_exit,win_rate,loss_rate,time_exit_rate,expectancy_r,mean_pnl_r,median_pnl_r,profit_factor,max_single_loss_r,avg_hold_bars,target_hit_rate,stop_hit_rate,vs_baseline_expectancy_r,slippage_adj_expectancy_r
09:30,15:00,MOC,5760,5035,725,0.8741319444444444,369,398,4268,0.07328699106256206,0.07904667328699107,0.8476663356504469,0.4279326305050484,0.4279326305050484,0.39096494336637305,1.8542713567839195,-1.0,301.3632571996028,0.07328699106256206,0.07904667328699107,0.0,0.3279326305050484
10:00,10:30,10:30,5760,3896,1864,0.6763888888888889,90,7,3799,0.023100616016427104,0.0017967145790554414,0.9751026694045175,0.37206113101563654,0.37206113101563654,0.27249829662706126,25.714285714285715,-1.0,24.820071868583163,0.023100616016427104,0.0017967145790554414,-0.055871499489411836,0.27206113101563656
10:00,10:30,10:45,5760,3896,1864,0.6763888888888889,104,12,3780,0.026694045174537988,0.003080082135523614,0.9702258726899384,0.3502894127274437,0.3502894127274437,0.250761375146091,17.333333333333332,-1.0,37.881673511293634,0.026694045174537988,0.003080082135523614,-0.07764321777760469,0.25028941272744365
10:00,10:30,11:00,5760,3896,1864,0.6763888888888889,112,18,3766,0.028747433264887063,0.004620123203285421,0.9666324435318275,0.3605663717094699,0.3605663717094699,0.2764415312500976,12.444444444444445,-1.0,50.76334702258727,0.028747433264887063,0.004620123203285421,-0.06736625879557845,0.26056637170946995
10:00,10:30,11:15,5760,3896,1864,0.6763888888888889,124,27,3745,0.03182751540041068,0.006930184804928132,0.9612422997946611,0.39042590222158485,0.39042590222158485,0.30923494699707427,9.185185185185185,-1.0,63.55082135523614,0.03182751540041068,0.006930184804928132,-0.03750672828346352,0.2904259022215848
10:00,10:30,11:30,5760,3896,1864,0.6763888888888889,136,32,3728,0.03490759753593429,0.008213552361396304,0.9568788501026694,0.40169249610921676,0.40169249610921676,0.3174820699435804,8.5,-1.0,76.19199178644764,0.03490759753593429,0.008213552361396304,-0.026240134395831616,0.3016924961092168
10:00,10:30,11:45,5760,3896,1864,0.6763888888888889,144,39,3713,0.03696098562628337,0.010010266940451745,0.9530287474332649,0.3873402922489335,0.3873402922489335,0.3109003968906652,7.384615384615385,-1.0,88.69430184804928,0.03696098562628337,0.010010266940451745,-0.04059233825611486,0.28734029224893354
10:00,10:30,12:00,5760,3896,1864,0.6763888888888889,150,45,3701,0.038501026694045176,0.011550308008213552,0.9499486652977412,0.40194274797987695,0.40194274797987695,0.3289453750125206,6.666666666666667,-1.0,101.07084188911705,0.038501026694045176,0.011550308008213552,-0.025989882525171426,0.30194274797987697
10:00,10:30,12:15,5760,3896,1864,0.6763888888888889,157,50,3689,0.04029774127310062,0.012833675564681724,0.9468685831622177,0.42317846702071116,0.42317846702071116,0.34630178238663906,6.28,-1.0,113.30492813141684,0.04029774127310062,0.012833675564681724,-0.004754163484337215,0.3231784670207112
10:00,10:30,12:30,5760,3896,1864,0.6763888888888889,168,56,3672,0.043121149897330596,0.014373716632443531,0.9425051334702259,0.4207244040959572,0.4207244040959572,0.34042960132525457,6.0,-1.0,125.49152977412732,0.043121149897330596,0.014373716632443531,-0.00720822640909119,0.32072440409595715
10:00,10:30,12:45,5760,3896,1864,0.6763888888888889,169,62,3665,0.04337782340862423,0.01591375770020534,0.9407084188911704,0.4207234739014702,0.4207234739014702,0.34152624331527204,5.451612903225806,-1.0,137.60189938398358,0.04337782340862423,0.01591375770020534,-0.007209156603578182,0.32072347390147016
10:00,10:30,13:00,5760,3896,1864,0.6763888888888889,172,72,3652,0.044147843942505136,0.018480492813141684,0.9373716632443532,0.4119265772434436,0.4119265772434436,0.33506419813273214,4.777777777777778,-1.0,149.6971252566735,0.044147843942505136,0.018480492813141684,-0.016006053261604758,0.31192657724344364
10:00,10:30,13:15,5760,3896,1864,0.6763888888888889,176,80,3640,0.045174537987679675,0.02053388090349076,0.9342915811088296,0.417900828765863,0.417900828765863,0.3354406656212923,4.4,-1.0,161.78696098562628,0.045174537987679675,0.02053388090349076,-0.010031801739185386,0.317900828765863
10:00,10:30,13:30,5760,3896,1864,0.6763888888888889,193,88,3615,0.04953798767967146,0.022587268993839837,0.9278747433264887,0.489526664433894,0.489526664433894,0.46768752053642726,4.386363636363637,-1.0,173.99332648870637,0.04953798767967146,0.022587268993839837,0.061594033928845604,0.38952666443389394
10:00,10:30,13:45,5760,3896,1864,0.6763888888888889,207,100,3589,0.053131416837782344,0.02566735112936345,0.9212012320328542,0.5150654675370496,0.5150654675370496,0.49870274433233436,4.14,-1.0,186.11113963039014,0.053131416837782344,0.02566735112936345,0.08713283703200125,0.41506546753704965
10:00,10:30,14:00,5760,3896,1864,0.6763888888888889,226,104,3566,0.058008213552361396,0.026694045174537988,0.9152977412731006,0.5726622102706848,0.5726622102706848,0.5311199025126007,4.346153846153846,-1.0,198.2168891170431,0.058008213552361396,0.026694045174537988,0.14472957976563638,0.4726622102706848
10:00,10:30,14:15,5760,3896,1864,0.6763888888888889,252,105,3539,0.0646817248459959,0.026950718685831623,0.9083675564681725,0.568578011870327,0.568578011870327,0.528460096609856,4.8,-1.0,210.25718685831623,0.0646817248459959,0.026950718685831623,0.1406453813652786,0.468578011870327
10:00,10:30,14:30,5760,3896,1864,0.6763888888888889,289,108,3499,0.07417864476386037,0.027720739219712527,0.8981006160164271,0.5927190112123393,0.5927190112123393,0.5426356102662617,5.351851851851852,-1.0,222.28490759753595,0.07417864476386037,0.027720739219712527,0.1647863807072909,0.4927190112123393
10:00,10:30,14:45,5760,3896,1864,0.6763888888888889,299,115,3482,0.07674537987679672,0.029517453798767967,0.8937371663244353,0.574610375283689,0.574610375283689,0.5377386248280321,5.2,-1.0,234.2453798767967,0.07674537987679672,0.029517453798767967,0.1466777447786406,0.474610375283689
10:00,10:30,15:00,5760,3896,1864,0.6763888888888889,302,120,3474,0.07751540041067762,0.030800821355236138,0.8916837782340863,0.5636478771003701,0.5636478771003701,0.5392186374808288,5.033333333333333,-1.0,246.31391170431212,0.07751540041067762,0.030800821355236138,0.13571524659532175,0.46364787710037014
10:00,10:30,15:15,5760,3896,1864,0.6763888888888889,309,126,3461,0.07931211498973306,0.03234086242299795,0.8883470225872689,0.5793263540863648,0.5793263540863648,0.5384021473758187,4.904761904761905,-1.0,258.5446611909651,0.07931211498973306,0.03234086242299795,0.15139372358131642,0.4793263540863648
10:00,10:30,15:30,5760,3896,1864,0.6763888888888889,318,132,3446,0.08162217659137577,0.033880903490759756,0.8844969199178645,0.5823132100627395,0.5823132100627395,0.5335536744263899,4.818181818181818,-1.0,270.90631416837783,0.08162217659137577,0.033880903490759756,0.15438057955769113,0.48231321006273953
10:00,10:30,15:45,5760,3896,1864,0.6763888888888889,331,141,3424,0.08495893223819302,0.036190965092402466,0.8788501026694046,0.588189378327939,0.588189378327939,0.5460055544472817,4.695035460992908,-1.0,283.63526694045174,0.08495893223819302,0.036190965092402466,0.16025674782289068,0.48818937832793907
10:00,10:30,15:55,5760,3896,1864,0.6763888888888889,343,143,3410,0.08803901437371663,0.036704312114989736,0.8752566735112937,0.5734779027138054,0.5734779027138054,0.5345724428612377,4.7972027972027975,-1.0,292.3062114989733,0.08803901437371663,0.036704312114989736,0.14554527220875701,0.4734779027138054
10:00,10:30,MOC,5760,3896,1864,0.6763888888888889,345,147,3404,0.0885523613963039,0.03773100616016427,0.8737166324435318,0.5810801633305569,0.5810801633305569,0.5481203846624114,4.6938775510204085,-1.0,296.5574948665298,0.0885523613963039,0.03773100616016427,0.15314753282550853,0.4810801633305569
10:00,10:45,10:30,5760,3998,1762,0.6940972222222223,90,7,3901,0.022511255627813906,0.0017508754377188595,0.9757378689344672,0.35874565251011015,0.35874565251011015,0.2577231247156476,25.714285714285715,-1.0,24.01225612806403,0.022511255627813906,0.0017508754377188595,-0.06918697799493823,0.25874565251011017
10:00,10:45,10:45,5760,3998,1762,0.6940972222222223,104,12,3882,0.026013006503251626,0.0030015007503751876,0.9709854927463731,0.34143969038962807,0.34143969038962807,0.2362107142906517,17.333333333333332,-1.0,37.086043021510754,0.026013006503251626,0.0030015007503751876,-0.0864929401154203,0.24143969038962806
10:00,10:45,11:00,5760,3998,1762,0.6940972222222223,112,18,3868,0.02801400700350175,0.004502251125562781,0.9674837418709354,0.35030565580407647,0.35030565580407647,0.26412268113732806,12.444444444444445,-1.0,49.97823911955978,0.02801400700350175,0.004502251125562781,-0.0776269747009719,0.2503056558040765
10:00,10:45,11:15,5760,3998,1762,0.6940972222222223,124,28,3846,0.031015507753876938,0.007003501750875438,0.9619809904952477,0.3801086430814923,0.3801086430814923,0.2944868781622632,8.857142857142858,-1.0,62.77538769384692,0.031015507753876938,0.007003501750875438,-0.04782398742355609,0.2801086430814923
10:00,10:45,11:30,5760,3998,1762,0.6940972222222223,136,34,3828,0.03401700850425213,0.008504252126063032,0.9574787393696849,0.39099160284549833,0.39099160284549833,0.3048346686122792,8.0,-1.0,75.41995997999,0.03401700850425213,0.008504252126063032,-0.03694102765955004,0.2909916028454983
10:00,10:45,11:45,5760,3998,1762,0.6940972222222223,144,41,3813,0.03601800900450225,0.01025512756378189,0.9537268634317159,0.3768848616536379,0.3768848616536379,0.2986322786220378,7.024390243902439,-1.0,87.93221610805402,0.03601800900450225,0.01025512756378189,-0.05104776885141049,0.2768848616536379
10:00,10:45,12:00,5760,3998,1762,0.6940972222222223,150,48,3800,0.03751875937968985,0.01200600300150075,0.9504752376188094,0.39091953971779025,0.39091953971779025,0.3135955956472295,6.25,-1.0,100.30415207603802,0.03751875937968985,0.01200600300150075,-0.03701309078725812,0.2909195397177903
10:00,10:45,12:15,5760,3998,1762,0.6940972222222223,157,55,3786,0.0392696348174087,0.01375687843921961,0.9469734867433717,0.41160810404177073,0.41160810404177073,0.3320361940203558,5.709090909090909,-1.0,112.53926963481742,0.0392696348174087,0.01375687843921961,-0.016324526463277644,0.31160810404177075
10:00,10:45,12:30,5760,3998,1762,0.6940972222222223,168,62,3768,0.04202101050525263,0.015507753876938469,0.9424712356178089,0.40900004171883614,0.40900004171883614,0.3272772027415462,5.419354838709677,-1.0,124.71960980490245,0.04202101050525263,0.015507753876938469,-0.018932588786212234,0.3090000417188361
10:00,10:45,12:45,5760,3998,1762,0.6940972222222223,169,68,3761,0.04227113556778389,0.017008504252126064,0.9407203601800901,0.40903526712085175,0.40903526712085175,0.3286415411650163,4.970588235294118,-1.0,136.82791395697848,0.04227113556778389,0.017008504252126064,-0.01889736338419662,0.3090352671208517
10:00,10:45,13:00,5760,3998,1762,0.6940972222222223,172,79,3747,0.04302151075537769,0.019759879939969985,0.9372186093046523,0.40013481817867624,0.40013481817867624,0.32018379899054594,4.3544303797468356,-1.0,148.91995997998998,0.04302151075537769,0.019759879939969985,-0.02779781232637213,0.30013481817867627
10:00,10:45,13:15,5760,3998,1762,0.6940972222222223,176,87,3735,0.04402201100550275,0.02176088044022011,0.9342171085542771,0.4056699815821567,0.4056699815821567,0.320167954063596,4.045977011494253,-1.0,161.00425212606302,0.04402201100550275,0.02176088044022011,-0.022262648922891648,0.30566998158215675
10:00,10:45,13:30,5760,3998,1762,0.6940972222222223,193,95,3710,0.04827413706853427,0.023761880940470236,0.9279639819909955,0.4762010326749763,0.4762010326749763,0.45392674373365877,4.063157894736842,-1.0,173.20610305152576,0.04827413706853427,0.023761880940470236,0.04826840216992795,0.3762010326749763
10:00,10:45,13:45,5760,3998,1762,0.6940972222222223,207,107,3684,0.051775887943971984,0.026763381690845422,0.9214607303651826,0.501370970406204,0.501370970406204,0.4810951750681348,3.869158878504673,-1.0,185.32691345672836,0.051775887943971984,0.026763381690845422,0.07343833990115567,0.40137097040620406
