ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
ABNB,"Airbnb, Inc. Class A Common Stock",XNAS,130.0,2026-03-24,4531479,588518741,price_80_200,adv_100m_plus,0.4677,0.030552,0.6217,True,
AMN,AMN Healthcare Services,XNYS,18.49,2026-03-24,1350605,25483462,price_10_20,adv_20m_50m,0.5806,0.061258,0.6216,True,
GDDY,GoDaddy Inc,XNYS,80.31,2026-03-24,2099395,198457239,price_80_200,adv_100m_plus,0.5,0.035787,0.6216,True,
SPXC,"SPX Technologies, Inc.",XNYS,200.67,2026-03-24,395655,84969928,price_200_500,adv_50m_100m,0.6129,0.034877,0.621,True,
KNX,Knight-Swift Transportation Holdings Inc. Class A Common Stock,XNYS,55.01,2026-03-24,3146362,180007086,price_40_80,adv_100m_plus,0.5161,0.035024,0.6203,True,
SDRL,Seadrill Limited,XNYS,45.09,2026-03-24,911660,36647082,price_40_80,adv_20m_50m,0.6613,0.042861,0.6203,True,
ST,Sensata Technologies Holding plc,XNYS,36.32,2026-03-24,1855704,65911103,price_20_40,adv_50m_100m,0.6613,0.033938,0.6199,True,
CTSH,Cognizant Technology Solutions,XNAS,60.24,2026-03-24,6359182,451646897,price_40_80,adv_100m_plus,0.5,0.029888,0.6199,True,
YETI,"YETI Holdings, Inc. Common Stock",XNYS,36.94,2026-03-24,1498035,67224592,price_20_40,adv_50m_100m,0.629,0.036134,0.6195,True,
PHM,"Pultegroup, Inc.",XNYS,118.09,2026-03-24,1828015,233896536,price_80_200,adv_100m_plus,0.5645,0.029334,0.6195,True,
MAN,ManpowerGroup,XNYS,27.87,2026-03-24,1309544,39061672,price_20_40,adv_20m_50m,0.5806,0.050299,0.6194,True,
CWK,Cushman & Wakefield Ltd.,XNYS,11.95,2026-03-24,2050741,29056903,price_10_20,adv_20m_50m,0.6452,0.047851,0.6191,True,
SGHC,Super Group (SGHC) Limited,XNYS,10.98,2026-03-24,2528602,25750550,price_10_20,adv_20m_50m,0.6613,0.048257,0.6186,True,
CNXC,Concentrix Corporation Common Stock,XNAS,26.48,2026-03-24,1373980,48457669,price_20_40,adv_20m_50m,0.4677,0.061263,0.6185,True,
CVSA,Covista Inc.,XNYS,113.08,2026-03-24,427593,44188332,price_80_200,adv_20m_50m,0.65,0.039916,0.6183,True,
SFM,"Sprouts Farmers Market, Inc.",XNAS,75.65,2026-03-24,2926153,218065775,price_40_80,adv_100m_plus,0.4194,0.039739,0.6183,True,
XOM,Exxon Mobil Corporation,XNYS,165.38,2026-03-24,20950547,3007832512,price_80_200,adv_100m_plus,0.5484,0.02229,0.6181,True,
